,Linked Page,Directory Page,University,Entity,Maybe Uni
Jennifer Cole,https://humdev.uchicago.edu/directory/jennifer-cole,https://socialsciences.uchicago.edu/directory/jennifer-cole,Still Working on This,[[]],University of California
Andreas Glaeser,https://sociology.uchicago.edu/directory/andreas-glaeser,https://socialsciences.uchicago.edu/directory/andreas-glaeser,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
William G. Howell,https://political-science.uchicago.edu/directory/william-howell,https://socialsciences.uchicago.edu/directory/william-g-howell,"Before coming to the University of Chicago, William taught in the government department at Harvard University and the political science department at the University of Wisconsin. In 2000, he received a PhD in political science from Stanford University.","[[('the University of Chicago', 'ORG'), ('William', 'PERSON'), ('Harvard University', 'ORG'), ('the University of Wisconsin', 'ORG')], [('2000', 'DATE'), ('PhD', 'WORK_OF_ART'), ('Stanford University', 'ORG')]]",Stanford University
Katherine D. Kinzler,https://psychology.uchicago.edu/directory/katherine-d-kinzler,https://socialsciences.uchicago.edu/directory/katherine-d-kinzler,"Professor Kinzler joined the faculty of the University of Chicago Department of Psychology in 2008, as a Neubauer Family Assistant Professor.  She spent 2015-2019 at Cornell University, where she was most recently the Chair of the Department of Psychology. She completed her B.A. at Yale in Cognitive Science, her Ph.D. at Harvard in Psychology, and she was a Fulbright Scholar at the École Normale Supérieure in Paris. Her research has been funded by the National Institutes of Health and the John Templeton Foundation. Her work has appeared regularly in the New York Times and other media outlets, and she was named a “Young Scientist,” one of 50 scientists under age 40 recognized by the World Economic Forum.","[[('Kinzler', 'PERSON'), ('the University of Chicago Department of Psychology', 'ORG'), ('2008', 'DATE'), ('Neubauer Family', 'PERSON')], [('2015-2019', 'DATE'), ('Cornell University', 'ORG'), ('the Chair of the Department of Psychology', 'ORG')], [('B.A.', 'GPE'), ('Yale', 'ORG'), ('Ph.D.', 'WORK_OF_ART'), ('Harvard', 'FAC'), ('the École Normale Supérieure', 'FAC'), ('Paris', 'GPE')], [('the National Institutes of Health', 'ORG'), ('the John Templeton Foundation', 'ORG')], [('a “Young Scientist', 'WORK_OF_ART'), ('one', 'CARDINAL'), ('50', 'CARDINAL'), ('age 40', 'DATE'), ('the World Economic Forum', 'ORG')]]",the World Economic Forum
Emilio H. Kouri,https://history.uchicago.edu/directory/emilio-kourí,https://socialsciences.uchicago.edu/directory/emilio-h-kouri,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
Gabriel Lear,https://socialthought.uchicago.edu/directory/gabriel-richardson-lear,https://socialsciences.uchicago.edu/directory/gabriel-lear,"Gabriel Richardson Lear (Professor of Philosophy) works on ancient Greek and Roman philosophy. Her book, Happy Lives and the Highest Good: An Essay on Aristotle's Nicomachean Ethics (Princeton, 2004), is about the relationship between morally virtuous action and theoretical contemplation in the happiest life. She is currently writing about Plato's aesthetics and about the status of beauty as an ethical concept in the work of several philosophers. She received her PhD in Philosophy from Princeton University (2001).","[[('Gabriel Richardson Lear', 'PERSON'), ('Greek', 'NORP'), ('Roman', 'NORP')], [('Aristotle', 'PERSON'), ('2004', 'DATE')], [('Plato', 'ORG')], [('PhD', 'WORK_OF_ART'), ('Princeton University', 'ORG'), ('2001', 'DATE')]]",Princeton University
Joseph P. Masco,https://anthropology.uchicago.edu/people/faculty/joseph-masco,https://socialsciences.uchicago.edu/directory/joseph-p-masco,University of California,"[[('University of California', 'ORG')]]",University of California
Robert  Shimer,https://economics.uchicago.edu/directory/robert-shimer,https://socialsciences.uchicago.edu/directory/robert-shimer,Massachusetts Institute of Technology,"[[('Massachusetts Institute of Technology', 'ORG')]]",Massachusetts Institute of Technology
Mark Bradley,https://history.uchicago.edu/directory/mark-philip-bradley,https://socialsciences.uchicago.edu/directory/mark-bradley,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
John Mark Hansen,https://political-science.uchicago.edu/directory/john-mark-hansen,https://socialsciences.uchicago.edu/directory/john-mark-hansen,"He joined the University faculty in 1986 as Assistant Professor in Political Science and was named an Associate Professor in 1992 and a Professor in Political Science in 1994. He served as Chairman of Political Science from 1995 to 1998, when he was named Associate Provost for Education and Research. Hansen received a BA in 1981 from the University of Kansas, an MPhil in 1983, and the PhD in 1987 from Yale University.","[[('University', 'ORG'), ('1986', 'DATE'), ('1992', 'DATE'), ('1994', 'DATE')], [('1995', 'DATE'), ('1998', 'DATE'), ('Associate Provost for Education and Research', 'ORG')], [('Hansen', 'PERSON'), ('1981', 'DATE'), ('the University of Kansas', 'ORG'), ('MPhil', 'ORG'), ('1983', 'DATE'), ('PhD', 'WORK_OF_ART'), ('1987', 'DATE'), ('Yale University', 'ORG')]]",Yale University
Howard C. Nusbaum,https://psychology.uchicago.edu/directory/howard-c-nusbaum,https://socialsciences.uchicago.edu/directory/howard-c-nusbaum,SUNY at Buffalo,"[[('Buffalo', 'GPE')]]",University of California
Robert Vargas,https://sociology.uchicago.edu/directory/robert-vargas-1,https://socialsciences.uchicago.edu/directory/robert-vargas,Still Working on This,[[]],University of California
Christina Klespies,No Link,https://socialsciences.uchicago.edu/directory/christina-klespies,"Christina Klespies identifies short and long term HR goals with unit leadership and oversees allocation of resources to meet priorities. In addition, she develops human resources policies and procedures to help meet strategic goals and oversees their implementation. She also ensures compliance of staff with organizational, university, and other relevant human resources policies and procedures.  She oversees hiring, orientation, performance planning, compensation, staff development, succession planning and employee labor relations, and advises/counsels supervisors and managers on federal, state and local employment laws and regulations. Klespies has over 20 years of experience in Human Resources in Higher Education. Prior to joining the University of Chicago in 2010, Klespies worked at two state universities in Ohio. She holds a BS in Human Resources Management and a Master’s degree in Psychology, with an emphasis in Organizational Development and Diversity Management. Klespies has completed doctorate level coursework and is also certified Professional in Human Resources Management through the Society of Human Resources Management (SHRM) and the Human Resources Certification Institute (HRCI).  ","[[('Christina Klespies', 'PERSON')], [], [], [], [], [('20 years', 'DATE'), ('Human Resources in Higher Education', 'ORG')], [('the University of Chicago', 'ORG'), ('2010', 'DATE'), ('two', 'CARDINAL'), ('Ohio', 'GPE')], [('Human Resources Management', 'ORG'), ('Organizational Development and Diversity Management', 'ORG')], [('Professional in Human Resources Management', 'ORG'), ('the Society of Human Resources Management', 'ORG'), ('the Human Resources Certification Institute', 'ORG'), ('HRCI', 'ORG')]]",HRCI
Lisa Williams,No Link,https://socialsciences.uchicago.edu/directory/lisa-williams,"Christina Klespies identifies short and long term HR goals with unit leadership and oversees allocation of resources to meet priorities. In addition, she develops human resources policies and procedures to help meet strategic goals and oversees their implementation. She also ensures compliance of staff with organizational, university, and other relevant human resources policies and procedures.  She oversees hiring, orientation, performance planning, compensation, staff development, succession planning and employee labor relations, and advises/counsels supervisors and managers on federal, state and local employment laws and regulations. Klespies has over 20 years of experience in Human Resources in Higher Education. Prior to joining the University of Chicago in 2010, Klespies worked at two state universities in Ohio. She holds a BS in Human Resources Management and a Master’s degree in Psychology, with an emphasis in Organizational Development and Diversity Management. Klespies has completed doctorate level coursework and is also certified Professional in Human Resources Management through the Society of Human Resources Management (SHRM) and the Human Resources Certification Institute (HRCI).  ","[[('Christina Klespies', 'PERSON')], [], [], [], [], [('20 years', 'DATE'), ('Human Resources in Higher Education', 'ORG')], [('the University of Chicago', 'ORG'), ('2010', 'DATE'), ('two', 'CARDINAL'), ('Ohio', 'GPE')], [('Human Resources Management', 'ORG'), ('Organizational Development and Diversity Management', 'ORG')], [('Professional in Human Resources Management', 'ORG'), ('the Society of Human Resources Management', 'ORG'), ('the Human Resources Certification Institute', 'ORG'), ('HRCI', 'ORG')]]",HRCI
Chad  Cyrenne,No Link,https://socialsciences.uchicago.edu/directory/chad-cyrenne,"Christina Klespies identifies short and long term HR goals with unit leadership and oversees allocation of resources to meet priorities. In addition, she develops human resources policies and procedures to help meet strategic goals and oversees their implementation. She also ensures compliance of staff with organizational, university, and other relevant human resources policies and procedures.  She oversees hiring, orientation, performance planning, compensation, staff development, succession planning and employee labor relations, and advises/counsels supervisors and managers on federal, state and local employment laws and regulations. Klespies has over 20 years of experience in Human Resources in Higher Education. Prior to joining the University of Chicago in 2010, Klespies worked at two state universities in Ohio. She holds a BS in Human Resources Management and a Master’s degree in Psychology, with an emphasis in Organizational Development and Diversity Management. Klespies has completed doctorate level coursework and is also certified Professional in Human Resources Management through the Society of Human Resources Management (SHRM) and the Human Resources Certification Institute (HRCI).  ","[[('Christina Klespies', 'PERSON')], [], [], [], [], [('20 years', 'DATE'), ('Human Resources in Higher Education', 'ORG')], [('the University of Chicago', 'ORG'), ('2010', 'DATE'), ('two', 'CARDINAL'), ('Ohio', 'GPE')], [('Human Resources Management', 'ORG'), ('Organizational Development and Diversity Management', 'ORG')], [('Professional in Human Resources Management', 'ORG'), ('the Society of Human Resources Management', 'ORG'), ('the Human Resources Certification Institute', 'ORG'), ('HRCI', 'ORG')]]",HRCI
James Evans,https://sociology.uchicago.edu/directory/james-evans,https://socialsciences.uchicago.edu/directory/james-evans,Stanford University,"[[('Stanford University', 'ORG')]]",Stanford University
Paul Staniland,https://political-science.uchicago.edu/directory/paul-staniland,https://socialsciences.uchicago.edu/directory/paul-staniland,MIT,"[[('MIT', 'ORG')]]",MIT
Cate Goebel,No Link,https://socialsciences.uchicago.edu/directory/cate-goebel,Paul Staniland,"[[('Paul Staniland', 'PERSON')]]",University of California
Laura Tharsen,No Link,https://socialsciences.uchicago.edu/directory/laura-tharsen,Paul Staniland,"[[('Paul Staniland', 'PERSON')]]",University of California
Anna Brailovsky,No Link,https://socialsciences.uchicago.edu/directory/anna-brailovsky,Paul Staniland,"[[('Paul Staniland', 'PERSON')]]",University of California
Dean Clason,No Link,https://socialsciences.uchicago.edu/directory/dean-clason,Paul Staniland,"[[('Paul Staniland', 'PERSON')]]",University of California
Shikha  Evans,No Link,https://socialsciences.uchicago.edu/directory/shikha-evans,Paul Staniland,"[[('Paul Staniland', 'PERSON')]]",University of California
June  Hou,No Link,https://socialsciences.uchicago.edu/directory/june-hou,Paul Staniland,"[[('Paul Staniland', 'PERSON')]]",University of California
Sarah Niemann,No Link,https://socialsciences.uchicago.edu/directory/sarah-niemann,Paul Staniland,"[[('Paul Staniland', 'PERSON')]]",University of California
Michaela Appeltova,https://history.uchicago.edu/directory/michaela-m%C3%AD%C5%A1a-appeltov%C3%A1,https://socialsciences.uchicago.edu/directory/michaela-appeltova,"I received a PhD in History, with distinction, from the University of Chicago in 2019. I hold an MA in MAPSS from the University of Chicago (2011) and an MA in Gender Studies from the Charles University in Prague (2008).","[[('PhD', 'WORK_OF_ART'), ('History', 'GPE'), ('the University of Chicago', 'ORG'), ('2019', 'DATE')], [('MA', 'GPE'), ('MAPSS', 'ORG'), ('the University of Chicago', 'ORG'), ('2011', 'DATE'), ('MA', 'ORG'), ('the Charles University', 'ORG'), ('Prague', 'GPE'), ('2008', 'DATE')]]",the Charles University
Evelyn Atkinson,No Link,https://socialsciences.uchicago.edu/directory/evelyn-atkinson,"I received a PhD in History, with distinction, from the University of Chicago in 2019. I hold an MA in MAPSS from the University of Chicago (2011) and an MA in Gender Studies from the Charles University in Prague (2008).","[[('PhD', 'WORK_OF_ART'), ('History', 'GPE'), ('the University of Chicago', 'ORG'), ('2019', 'DATE')], [('MA', 'GPE'), ('MAPSS', 'ORG'), ('the University of Chicago', 'ORG'), ('2011', 'DATE'), ('MA', 'ORG'), ('the Charles University', 'ORG'), ('Prague', 'GPE'), ('2008', 'DATE')]]",the Charles University
Zachary Barr,No Link,https://socialsciences.uchicago.edu/directory/zachary-barr,"I received a PhD in History, with distinction, from the University of Chicago in 2019. I hold an MA in MAPSS from the University of Chicago (2011) and an MA in Gender Studies from the Charles University in Prague (2008).","[[('PhD', 'WORK_OF_ART'), ('History', 'GPE'), ('the University of Chicago', 'ORG'), ('2019', 'DATE')], [('MA', 'GPE'), ('MAPSS', 'ORG'), ('the University of Chicago', 'ORG'), ('2011', 'DATE'), ('MA', 'ORG'), ('the Charles University', 'ORG'), ('Prague', 'GPE'), ('2008', 'DATE')]]",the Charles University
Ingrid D. Becker,No Link,https://socialsciences.uchicago.edu/directory/ingrid-d-becker,"I received a PhD in History, with distinction, from the University of Chicago in 2019. I hold an MA in MAPSS from the University of Chicago (2011) and an MA in Gender Studies from the Charles University in Prague (2008).","[[('PhD', 'WORK_OF_ART'), ('History', 'GPE'), ('the University of Chicago', 'ORG'), ('2019', 'DATE')], [('MA', 'GPE'), ('MAPSS', 'ORG'), ('the University of Chicago', 'ORG'), ('2011', 'DATE'), ('MA', 'ORG'), ('the Charles University', 'ORG'), ('Prague', 'GPE'), ('2008', 'DATE')]]",the Charles University
Emily Bock,No Link,https://socialsciences.uchicago.edu/directory/emily-bock,"I received a PhD in History, with distinction, from the University of Chicago in 2019. I hold an MA in MAPSS from the University of Chicago (2011) and an MA in Gender Studies from the Charles University in Prague (2008).","[[('PhD', 'WORK_OF_ART'), ('History', 'GPE'), ('the University of Chicago', 'ORG'), ('2019', 'DATE')], [('MA', 'GPE'), ('MAPSS', 'ORG'), ('the University of Chicago', 'ORG'), ('2011', 'DATE'), ('MA', 'ORG'), ('the Charles University', 'ORG'), ('Prague', 'GPE'), ('2008', 'DATE')]]",the Charles University
Kyla Bourne,No Link,https://socialsciences.uchicago.edu/directory/kyla-bourne,"I received a PhD in History, with distinction, from the University of Chicago in 2019. I hold an MA in MAPSS from the University of Chicago (2011) and an MA in Gender Studies from the Charles University in Prague (2008).","[[('PhD', 'WORK_OF_ART'), ('History', 'GPE'), ('the University of Chicago', 'ORG'), ('2019', 'DATE')], [('MA', 'GPE'), ('MAPSS', 'ORG'), ('the University of Chicago', 'ORG'), ('2011', 'DATE'), ('MA', 'ORG'), ('the Charles University', 'ORG'), ('Prague', 'GPE'), ('2008', 'DATE')]]",the Charles University
Manuel Cabal,No Link,https://socialsciences.uchicago.edu/directory/manuel-cabal,"I received a PhD in History, with distinction, from the University of Chicago in 2019. I hold an MA in MAPSS from the University of Chicago (2011) and an MA in Gender Studies from the Charles University in Prague (2008).","[[('PhD', 'WORK_OF_ART'), ('History', 'GPE'), ('the University of Chicago', 'ORG'), ('2019', 'DATE')], [('MA', 'GPE'), ('MAPSS', 'ORG'), ('the University of Chicago', 'ORG'), ('2011', 'DATE'), ('MA', 'ORG'), ('the Charles University', 'ORG'), ('Prague', 'GPE'), ('2008', 'DATE')]]",the Charles University
Nick  Campbell-Seremetis,https://www.nickcs.net/,https://socialsciences.uchicago.edu/directory/nick-campbell-seremetis,"Welcome! I received my PhD in political science from the University of Chicago in Summer 2020, and am a current post-doctoral fellow at the University of Notre Dame International Security Center (NDISC).","[[], [('PhD', 'WORK_OF_ART'), ('the University of Chicago', 'ORG'), ('Summer 2020', 'DATE'), ('the University of Notre Dame International Security Center', 'ORG'), ('NDISC', 'ORG')]]",NDISC
Carlos Cardenas-Iniguez,No Link,https://socialsciences.uchicago.edu/directory/carlos-cardenas-iniguez,"Welcome! I received my PhD in political science from the University of Chicago in Summer 2020, and am a current post-doctoral fellow at the University of Notre Dame International Security Center (NDISC).","[[], [('PhD', 'WORK_OF_ART'), ('the University of Chicago', 'ORG'), ('Summer 2020', 'DATE'), ('the University of Notre Dame International Security Center', 'ORG'), ('NDISC', 'ORG')]]",NDISC
Wilma A. Bainbridge,https://psychology.uchicago.edu/directory/wilma-bainbridge,https://socialsciences.uchicago.edu/directory/wilma-bainbridge,"Wilma A. Bainbridge is an Assistant Professor in the Department of Psychology. She received her B.A. in Cognitive Science from Yale University, studying both visual neuroscience and human-robot interaction. After a year-long research internship on robotics at the University of Tokyo, she completed her Ph.D in Brain & Cognitive Sciences at the Massachusetts Institute of Technology, studying vision and memory. She then completed postdoctoral training at the National Institute of Mental Health before coming to the University of Chicago.","[[('Wilma A. Bainbridge', 'PERSON'), ('the Department of Psychology', 'ORG')], [('B.A.', 'GPE'), ('Cognitive Science', 'ORG'), ('Yale University', 'ORG')], [('year-long', 'DATE'), ('the University of Tokyo', 'ORG'), ('Brain & Cognitive Sciences', 'ORG'), ('the Massachusetts Institute of Technology', 'ORG')], [('the National Institute of Mental Health', 'ORG'), ('the University of Chicago', 'ORG')]]",the University of Chicago
Akram Bakkour,https://psychology.uchicago.edu/directory/akram-bakkour-5,https://socialsciences.uchicago.edu/directory/akram-bakkour,Department of Psychology,[[]],University of California
Kathleen Belew,https://history.uchicago.edu/directory/kathleen-belew,https://socialsciences.uchicago.edu/directory/kathleen-belew,Yale University,"[[('Yale University', 'ORG')]]",Yale University
Lin Bian,https://psychology.uchicago.edu/directory/lin-bian,https://socialsciences.uchicago.edu/directory/lin-bian,"Lin Bian is joining the Department of Psychology as an Assistant Professor in 2021. Before moving to the University of Chicago, she was the Evalyn Edwards Milman Assistant Professor at Cornell University. Lin obtained her B.S. in Psychology at Zhejiang University (China) and her Ph.D. in Developmental Psychology at the University of Illinois at Urbana-Champaign, and then completed her postdoctoral training at Stanford University.","[[('Lin Bian', 'PERSON'), ('the Department of Psychology', 'ORG'), ('2021', 'DATE')], [('the University of Chicago', 'ORG'), ('Cornell University', 'ORG')], [('Lin', 'PERSON'), ('B.S.', 'NORP'), ('Zhejiang University (China', 'ORG'), ('the University of Illinois at Urbana-Champaign', 'ORG'), ('Stanford University', 'ORG')]]",Stanford University
Ruth Bloch Rubin,https://political-science.uchicago.edu/directory/ruth-bloch-rubin,https://socialsciences.uchicago.edu/directory/ruth-bloch-rubin,"Ruth Bloch Rubin studies American politics, with a substantive focus on legislative institutions, political parties, and American political development. Combining archival and interview data, her current work explores how divisions within political parties drive congressional development and structure lawmaking. Challenging existing theories of party power in Congress, she highlights the role of intraparty organizations in shaping both substantive and procedural change. Bloch Rubin is also working on a project that examines Congress’s provision of health services to American Indians in the early nineteenth century. She joins the University of Chicago from Harvard University, where she was Robert Wood Johnson Scholar in Health Policy Research. She earned her PhD in Political Science from the University of California, Berkeley in 2014.","[[('Ruth Bloch Rubin', 'PERSON'), ('American', 'NORP'), ('American', 'NORP')], [], [('Congress', 'ORG')], [('Bloch Rubin', 'PERSON'), ('Congress', 'ORG'), ('American Indians', 'NORP'), ('the early nineteenth century', 'DATE')], [('the University of Chicago', 'ORG'), ('Harvard University', 'ORG'), ('Robert Wood Johnson', 'PERSON'), ('Health Policy Research', 'ORG')], [('PhD', 'WORK_OF_ART'), ('the University of California, Berkeley', 'ORG'), ('2014', 'DATE')]]","the University of California, Berkeley"
Benjamin Brooks,https://economics.uchicago.edu/directory/benjamin-brooks,https://socialsciences.uchicago.edu/directory/benjamin-brooks,Princeton University,"[[('Princeton University', 'ORG')]]",Princeton University
Austin Carson,https://political-science.uchicago.edu/directory/austin-carson,https://socialsciences.uchicago.edu/directory/austin-carson,"Austin Carson is an assistant professor in the Department of Political Science at the University of Chicago. His main research focus is the politics of secrecy in International Relations. His first book, Secret Wars: Covert Conflict in International Politics (Princeton UP 2018), analyzes puzzling secrecy patterns that arise when outside powers intervene in foreign wars. The book develops a theory based on conflict escalation dynamics, showing that states use covert intervention and conceal others' covert activity to keep war limited. An article analyzing the secret side of the Korean War was published in International Organization. His second book project, in collaboration with Allison Carnegie (Columbia), analyzes the role of intelligence and other forms of sensitive information in international organizations. His other research addresses the signaling value of covert action, secrecy's role in insulating international regimes from damaging rule violations, and dynamics of limited war. Dr. Carson received his PhD from Ohio State, BA from Michigan State, and has held research fellowships at Princeton University's Niehaus Center for Globalization and Governance and George Washington University's Institute for Security and Conflict Studies.","[[('Austin Carson', 'PERSON'), ('the Department of Political Science', 'ORG'), ('the University of Chicago', 'ORG')], [('International Relations', 'ORG')], [('first', 'ORDINAL')], [('2018', 'DATE')], [], [('the Korean War', 'EVENT')], [('second', 'ORDINAL'), ('Allison Carnegie', 'ORG'), ('Columbia', 'ORG')], [], [('Carson', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('Ohio State', 'ORG'), ('BA', 'ORG'), ('Michigan State', 'GPE'), (""Princeton University's"", 'ORG'), ('Niehaus Center for Globalization and Governance', 'ORG'), (""George Washington University's"", 'ORG'), ('Institute for Security and Conflict Studies', 'ORG')]]",Institute for Security and Conflict Studies
Marisa Casillas,https://humdev.uchicago.edu/directory/marisa-casillas,https://socialsciences.uchicago.edu/directory/marisa-casillas,Still Working on This,[[]],University of California
Elizabeth Chatterjee,https://socialsciences.uchicago.edu/directory/elizabeth-chatterjee,https://socialsciences.uchicago.edu/directory/elizabeth-chatterjee,Still Working on This,[[]],University of California
Joyce Bell,https://sociology.uchicago.edu/directory/joyce-bell,https://socialsciences.uchicago.edu/directory/joyce-bell,Still Working on This,[[]],University of California
Marc Berman,https://psychology.uchicago.edu/directory/marc-g-berman,https://socialsciences.uchicago.edu/directory/marc-berman,"Marc Berman is an Associate Professor in the Department of Psychology and is involved in the Cognition, Social and Integrative Neuroscience programs. Understanding the relationship between individual psychological and neural processing and environmental factors lies at the heart of my research. In my lab we utilize brain imaging, behavioral experimentation, computational neuroscience and statistical models to quantify the person, the environment and their interactions. Marc received his B.S.E. in Industrial and Operations Engineering (IOE) from the University of Michigan and his Ph.D. in Psychology and IOE from the University of Michigan. He received post-doctoral training at the University of Toronto's Rotman Research Institute at Baycrest. Before arriving to Chicago he was an Assistant Professor of Psychology at the University of South Carolina.","[[('Marc Berman', 'PERSON'), ('the Department of Psychology', 'ORG')], [], [], [('Marc', 'PERSON'), ('B.S.E. in', 'PRODUCT'), ('the University of Michigan', 'ORG'), ('Ph.D. in Psychology and IOE', 'WORK_OF_ART'), ('the University of Michigan', 'ORG')], [(""the University of Toronto's"", 'ORG'), ('Rotman Research Institute', 'ORG'), ('Baycrest', 'ORG')], [('Chicago', 'GPE'), ('the University of South Carolina', 'ORG')]]",the University of South Carolina
Dain Borges,https://history.uchicago.edu/directory/dain-borges,https://socialsciences.uchicago.edu/directory/dain-borges,Stanford University,"[[('Stanford University', 'ORG')]]",Stanford University
Matthew M. Briones,https://history.uchicago.edu/directory/matthew-briones,https://socialsciences.uchicago.edu/directory/matthew-m-briones,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
P. Sean Brotherton,https://anthropology.uchicago.edu/people/faculty/sean-brotherton,https://socialsciences.uchicago.edu/directory/p-sean-brotherton,Gill University,"[[('Gill University', 'ORG')]]",Gill University
Rachel Lee Fulton Brown,https://history.uchicago.edu/directory/rachel-fulton-brown,https://socialsciences.uchicago.edu/directory/rachel-lee-fulton-brown,Columbia University,"[[('Columbia University', 'ORG')]]",Columbia University
Ralph A. Austen,https://history.uchicago.edu/directory/ralph-austen,https://socialsciences.uchicago.edu/directory/ralph-austen,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
Leonard Binder,https://political-science.uchicago.edu/directory/leonard-binder,https://socialsciences.uchicago.edu/directory/leonard-binder,Still Working on This,[[]],University of California
Norman Bradburn,No Link,https://socialsciences.uchicago.edu/directory/norman-bradburn,Still Working on This,[[]],University of California
Alain Bresson,https://history.uchicago.edu/directory/alain-bresson,https://socialsciences.uchicago.edu/directory/alain-bresson-0,University of Franche,"[[('University of Franche', 'ORG')]]",University of Franche
Robert A. Butler,No Link,https://socialsciences.uchicago.edu/directory/robert-butler,University of Franche,"[[('University of Franche', 'ORG')]]",University of Franche
Maria Manuel Carneiro Da Cunha,https://anthropology.uchicago.edu/people/emeritus-faculty/manuela-carneiro-da-cunha,https://socialsciences.uchicago.edu/directory/maria-manuel-carneiro-da-cunha,University of Campinas,"[[('University of Campinas', 'ORG')]]",University of Campinas
Kathleen Conzen,https://history.uchicago.edu/directory/kathleen-neils-conzen,https://socialsciences.uchicago.edu/directory/kathleen-conzen,University of Wisconsin,"[[('University of Wisconsin', 'ORG')]]",University of Wisconsin
